0,1,2,3,4,5,6,7,8,9
2025-05-29,110.00,111.60,108.80,109.80,0.80,0.73,"111,909",,
2025-05-28,108.40,110.00,107.80,109.00,1.20,1.11,"135,034",,
2025-05-27,112.40,112.60,106.40,107.80,-4.20,-3.75,"398,630",,
2025-05-26,113.20,116.00,111.40,112.00,-1.20,-1.06,"244,375",,
2025-05-25,117.00,117.00,112.60,113.20,-2.80,-2.41,"258,824",,
2025-05-22,117.00,118.80,115.60,116.00,-2.00,-1.69,"236,786",,
2025-05-21,122.00,122.00,117.60,118.00,-3.40,-2.80,"276,744",,
2025-05-20,121.40,122.60,121.20,121.40,0.00,0.00,"207,982",,
2025-05-19,124.40,124.40,121.00,121.40,-2.80,-2.25,"295,887",,
2025-05-18,125.60,126.00,122.20,124.20,-1.00,-0.80,"201,818",,
2025-05-15,122.80,127.00,122.80,125.20,-11.20,-8.21,"1,557,702",,
2025-05-14,130.00,138.00,130.00,136.40,6.60,5.08,"749,415",,
2025-05-13,134.20,135.00,129.00,129.80,-5.00,-3.71,"420,689",,
2025-05-12,132.80,135.20,131.60,134.80,2.20,1.66,"198,706",,
2025-05-11,133.00,133.40,130.40,132.60,-0.40,-0.30,"143,930",,
2025-05-08,128.80,136.20,128.20,133.00,4.40,3.42,"544,670",,
2025-05-07,129.80,130.60,127.40,128.60,-2.20,-1.68,"109,002",,
2025-05-06,133.00,134.20,130.60,130.80,-1.20,-0.91,"176,510",,
2025-05-05,132.00,133.00,128.40,132.00,0.00,0.00,"193,414",,
2025-05-04,134.20,135.20,130.60,132.00,2.20,1.69,"373,781",,
2025-05-01,132.00,132.00,126.60,129.80,-2.00,-1.52,"323,473",,
2025-04-30,134.80,136.40,131.00,131.80,0.60,0.46,"976,435",,
2025-04-29,125.00,131.20,123.60,131.20,11.80,9.88,"1,447,001",,
2025-04-28,118.60,121.20,117.20,119.40,0.80,0.67,"191,814",,
2025-04-27,118.60,119.00,117.60,118.60,0.40,0.34,"62,124",,
2025-04-24,118.80,119.80,117.60,118.20,-0.20,-0.17,"114,342",,
2025-04-23,119.00,120.00,117.80,118.40,1.00,0.85,"63,548",,
2025-04-22,118.00,119.40,116.20,117.40,-0.80,-0.68,"99,051",,
2025-04-21,118.20,120.80,117.40,118.20,-0.40,-0.34,"125,138",,
2025-04-20,119.20,121.00,118.20,118.60,0.00,0.00,"90,460",,
2025-04-17,123.40,123.40,118.60,118.60,-5.20,-4.20,"307,796",,
2025-04-16,121.00,129.20,119.00,123.80,3.20,2.65,"458,363",,
2025-04-15,121.00,122.60,119.80,120.60,-0.20,-0.17,"140,233",,
2025-04-14,118.20,123.20,116.40,120.80,3.00,2.55,"328,872",,
2025-04-13,117.00,119.00,116.00,117.80,1.80,1.55,"314,659",,
2025-04-10,118.80,119.00,115.60,116.00,2.80,2.47,"428,030",,
2025-04-09,115.20,116.40,111.80,113.20,-2.80,-2.41,"208,242",,
2025-04-08,116.00,118.80,115.60,116.00,0.40,0.35,"239,120",,
2025-04-07,119.60,119.60,111.20,115.60,-4.80,-3.99,"511,008",,
2025-04-06,120.40,124.60,120.40,120.40,-13.20,-9.88,"294,697",,
2025-04-03,-,-,-,133.60,0.00,0.00,-,,
2025-03-27,133.00,135.60,131.60,133.60,1.00,0.75,"227,693",,
2025-03-26,128.80,132.60,127.80,132.60,5.60,4.41,"149,355",,
2025-03-25,127.20,128.60,125.40,127.00,-0.20,-0.16,"86,055",,
2025-03-24,128.20,128.80,126.20,127.20,-1.00,-0.78,"120,542",,
2025-03-23,132.80,132.80,128.00,128.20,-2.40,-1.84,"119,075",,
2025-03-20,127.20,132.40,126.80,130.60,3.60,2.83,"280,099",,
2025-03-19,126.80,128.40,124.20,127.00,0.60,0.47,"173,049",,
2025-03-18,126.60,129.40,126.20,126.40,1.20,0.96,"412,997",,
2025-03-17,126.60,127.20,124.20,125.20,-0.60,-0.48,"218,568",,
2025-03-16,127.20,128.40,125.20,125.80,-1.40,-1.10,"302,034",,
2025-03-13,126.00,128.00,124.80,127.20,1.20,0.95,"444,265",,
2025-03-12,130.00,130.00,125.60,126.00,-3.80,-2.93,"275,042",,
2025-03-11,136.00,136.00,128.40,129.80,-7.00,-5.12,"405,935",,
2025-03-10,136.20,139.00,136.20,136.80,-4.20,-2.98,"67,566",,
2025-03-09,141.60,142.20,138.00,141.00,-1.60,-1.12,"112,312",,
2025-03-06,145.00,145.00,140.00,142.60,-3.40,-2.33,"101,331",,
2025-03-05,146.40,146.40,142.80,146.00,-0.80,-0.54,"73,998",,
2025-03-04,145.00,147.00,141.00,146.80,2.20,1.52,"124,446",,
2025-03-03,145.40,145.60,143.00,144.60,-0.80,-0.55,"75,291",,
2025-03-02,146.80,147.20,144.80,145.40,-1.40,-0.95,"63,641",,
2025-02-27,147.40,147.80,146.40,146.80,-0.80,-0.54,"76,211",,
2025-02-26,148.00,148.20,146.80,147.60,-0.40,-0.27,"42,647",,
2025-02-25,148.00,148.20,146.40,148.00,0.00,0.00,"49,530",,
2025-02-24,149.00,149.20,147.00,148.00,-1.00,-0.67,"53,510",,
2025-02-20,148.60,149.60,147.80,149.00,-0.80,-0.53,"39,552",,
2025-02-19,151.20,152.40,148.00,149.80,-1.00,-0.66,"117,209",,
2025-02-18,147.60,150.80,147.20,150.80,2.80,1.89,"132,539",,
2025-02-17,147.40,148.40,146.40,148.00,0.40,0.27,"77,938",,
2025-02-16,148.60,149.20,147.20,147.60,-1.00,-0.67,"88,983",,
2025-02-13,147.80,149.20,147.00,148.60,1.20,0.81,"107,648",,
2025-02-12,150.00,150.00,147.00,147.40,-2.60,-1.73,"150,551",,
2025-02-11,149.20,151.40,148.60,150.00,1.00,0.67,"152,845",,
2025-02-10,150.40,150.80,149.00,149.00,-1.60,-1.06,"179,084",,
2025-02-09,151.40,151.60,150.20,150.60,-0.60,-0.40,"96,528",,
2025-02-06,151.00,151.40,150.00,151.20,0.20,0.13,"115,103",,
2025-02-05,152.20,152.60,150.80,151.00,-1.40,-0.92,"182,645",,
2025-02-04,152.60,152.60,151.60,152.40,0.60,0.40,"104,574",,
2025-02-03,153.80,153.80,151.60,151.80,-2.40,-1.56,"134,370",,
2025-02-02,153.80,154.80,153.60,154.20,0.60,0.39,"142,907",,
2025-01-30,152.80,154.40,152.20,153.60,1.00,0.66,"104,863",,
2025-01-29,153.20,153.60,151.80,152.60,-1.00,-0.65,"71,577",,
2025-01-28,151.60,154.20,151.20,153.60,2.00,1.32,"135,370",,
2025-01-27,153.00,155.00,151.60,151.60,-1.40,-0.92,"158,590",,
2025-01-26,152.20,153.60,152.00,153.00,1.00,0.66,"68,792",,
2025-01-23,153.60,153.80,151.00,152.00,-1.60,-1.04,"132,452",,
2025-01-22,153.20,154.00,152.60,153.60,0.40,0.26,"118,310",,
2025-01-21,154.40,154.60,152.80,153.20,-1.20,-0.78,"151,879",,
2025-01-20,154.40,156.20,153.80,154.40,0.20,0.13,"130,847",,
2025-01-19,153.00,156.40,152.80,154.20,1.60,1.05,"227,269",,
2025-01-16,153.20,154.00,151.60,152.60,-0.40,-0.26,"105,740",,
2025-01-15,155.00,155.40,152.40,153.00,-2.60,-1.67,"236,919",,
2025-01-14,154.20,156.40,153.60,155.60,1.40,0.91,"134,638",,
2025-01-13,155.00,155.40,153.60,154.20,-0.80,-0.52,"76,263",,
2025-01-12,153.40,158.80,153.20,155.00,1.60,1.04,"250,490",,
2025-01-09,156.00,156.00,152.80,153.40,-2.40,-1.54,"155,411",,
2025-01-08,153.00,157.80,152.80,155.80,2.60,1.70,"350,443",,
2025-01-07,154.40,155.40,152.20,153.20,-1.80,-1.16,"224,486",,
2025-01-06,149.20,156.00,147.40,155.00,6.20,4.17,"469,783",,
2025-01-05,150.80,151.00,147.80,148.80,-1.20,-0.80,"264,481",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,150.80,151.00,147.80,148.80,-1.20,-0.80,"264,481",,
2025-01-02,148.20,151.40,147.80,150.00,3.80,2.60,"529,413",,
2025-01-01,145.60,147.20,145.60,146.20,1.00,0.69,"80,089",,
2024-12-31,147.40,147.40,144.20,145.20,-0.80,-0.55,"146,142",,
2024-12-30,148.60,148.60,145.00,146.00,-1.20,-0.82,"149,026",,
2024-12-29,147.80,148.40,146.60,147.20,0.20,0.14,"81,431",,
2024-12-26,149.00,151.00,147.00,147.00,1.00,0.68,"274,096",,
2024-12-25,150.00,150.00,145.60,146.00,-1.00,-0.68,"81,149",,
2024-12-24,144.00,151.00,144.00,147.00,3.00,2.08,"236,725",,
2024-12-23,146.36,146.73,142.91,144.00,-2.00,-1.37,"161,214",,
2024-12-22,143.82,149.09,143.45,146.00,3.82,2.69,"425,380",,
2024-12-19,146.91,148.18,142.18,142.18,-6.18,-4.17,"510,516",,
2024-12-18,144.91,154.73,144.55,148.36,3.81,2.64,"566,213",,
2024-12-17,139.27,144.73,138.18,144.55,4.55,3.25,"236,014",,
2024-12-16,142.73,143.27,139.27,140.00,-2.73,-1.91,"168,746",,
2024-12-15,145.45,145.45,142.55,142.73,-2.36,-1.63,"133,914",,
2024-12-12,145.09,147.09,144.00,145.09,0.73,0.51,"229,158",,
2024-12-11,145.27,146.36,143.09,144.36,-0.91,-0.63,"130,500",,
2024-12-10,144.55,145.64,143.64,145.27,0.72,0.50,"130,935",,
2024-12-09,147.27,147.27,144.18,144.55,-1.45,-0.99,"144,192",,
2024-12-08,148.00,149.82,145.82,146.00,-1.27,-0.86,"99,681",,
2024-12-05,148.73,150.73,146.91,147.27,-1.46,-0.98,"100,080",,
2024-12-04,145.27,149.09,142.73,148.73,4.18,2.89,"161,372",,
2024-12-03,144.36,147.64,143.27,144.55,0.37,0.26,"169,470",,
2024-12-02,147.82,147.82,143.27,144.18,-3.09,-2.10,"123,093",,
2024-12-01,150.73,150.73,145.82,147.27,0.91,0.62,"61,515",,
2024-11-28,144.91,150.55,143.82,146.36,0.54,0.37,"165,750",,
2024-11-27,151.82,151.82,143.09,145.82,-5.63,-3.72,"262,381",,
2024-11-26,151.64,159.45,149.64,151.45,-0.19,-0.13,"322,904",,
2024-11-25,156.36,158.00,149.27,151.64,-0.72,-0.47,"409,059",,
2024-11-24,140.91,152.36,140.00,152.36,13.81,9.97,"311,324",,
2024-11-21,139.09,140.18,134.55,138.55,-0.54,-0.39,"189,754",,
2024-11-20,139.45,141.27,138.18,139.09,0.00,0.00,"81,241",,
2024-11-19,140.36,143.09,139.09,139.09,-2.18,-1.54,"89,308",,
2024-11-18,140.91,141.82,138.00,141.27,2.00,1.44,"90,558",,
2024-11-17,142.91,142.91,137.45,139.27,-3.64,-2.55,"117,222",,
2024-11-14,146.91,148.18,142.91,142.91,-4.00,-2.72,"144,936",,
2024-11-13,148.00,148.18,145.45,146.91,-1.09,-0.74,"53,984",,
2024-11-12,149.45,150.18,145.45,148.00,-1.64,-1.10,"150,819",,
2024-11-11,149.82,150.00,145.64,149.64,-0.18,-0.12,"99,354",,
2024-11-10,152.73,152.73,145.45,149.82,-4.36,-2.83,"117,071",,
2024-11-07,157.82,157.82,152.73,154.18,-2.18,-1.39,"133,576",,
2024-11-06,154.73,156.91,153.64,156.36,1.81,1.17,"115,469",,
2024-11-05,153.45,155.27,152.00,154.55,0.73,0.47,"81,854",,
2024-11-04,157.27,157.82,152.91,153.82,-2.91,-1.86,"144,706",,
2024-11-03,159.09,159.09,156.55,156.73,-3.09,-1.93,"98,084",,
2024-10-31,158.55,161.64,157.27,159.82,0.73,0.46,"139,719",,
2024-10-30,158.00,159.45,155.09,159.09,1.82,1.16,"140,907",,
2024-10-29,161.27,162.55,156.55,157.27,-4.91,-3.03,"163,255",,
2024-10-28,157.09,163.64,156.36,162.18,6.73,4.33,"327,561",,
2024-10-27,156.91,157.27,153.09,155.45,0.72,0.47,"196,600",,
2024-10-24,159.64,161.45,154.18,154.73,-4.72,-2.96,"449,742",,
2024-10-23,165.45,166.00,158.73,159.45,-5.10,-3.10,"135,852",,
2024-10-22,171.27,171.27,163.09,164.55,-5.45,-3.21,"151,517",,
2024-10-21,174.18,174.18,169.09,170.00,-0.55,-0.32,"124,559",,
2024-10-20,176.36,176.55,170.00,170.55,-2.36,-1.36,"2,787,489",,
2024-10-17,177.82,178.91,172.91,172.91,-4.73,-2.66,"45,516",,
2024-10-16,177.27,180.91,177.27,177.64,-0.54,-0.30,"75,170",,
2024-10-15,177.82,180.73,177.27,178.18,0.36,0.20,"39,754",,
2024-10-14,180.55,183.64,176.91,177.82,-2.18,-1.21,"93,201",,
2024-10-13,175.45,180.00,173.27,180.00,5.82,3.34,"56,926",,
2024-10-10,172.18,174.55,171.27,174.18,1.45,0.84,"58,339",,
2024-10-09,172.55,175.45,171.27,172.73,0.18,0.10,"38,974",,
2024-10-08,176.00,176.00,171.64,172.55,-2.00,-1.15,"46,371",,
2024-10-07,172.73,174.91,171.64,174.55,1.82,1.05,"63,680",,
2024-10-06,177.27,177.45,172.00,172.73,-2.72,-1.55,"55,988",,
2024-10-03,180.91,181.45,174.36,175.45,-5.46,-3.02,"56,793",,
2024-10-02,182.36,183.64,179.09,180.91,-3.64,-1.97,"81,633",,
2024-10-01,182.00,185.45,182.00,184.55,2.55,1.40,"87,030",,
2024-09-30,182.73,183.64,181.82,182.00,-0.73,-0.40,"56,726",,
2024-09-29,183.64,184.55,182.73,182.73,-1.82,-0.99,"54,177",,
2024-09-26,188.18,188.18,182.91,184.55,-3.63,-1.93,"145,372",,
2024-09-25,189.82,189.82,187.64,188.18,-1.82,-0.96,"57,565",,
2024-09-24,190.91,191.82,188.00,190.00,0.00,0.00,"117,497",,
2024-09-22,186.36,192.73,185.82,190.00,3.45,1.85,"77,622",,
2024-09-19,183.64,187.45,183.64,186.55,-0.36,-0.19,"124,968",,
2024-09-18,187.27,189.09,186.00,186.91,-0.36,-0.19,"47,290",,
2024-09-17,182.73,189.09,181.82,187.27,4.54,2.48,"93,059",,
2024-09-16,182.73,182.73,181.09,182.73,1.09,0.60,"64,394",,
2024-09-15,180.00,183.09,180.00,181.64,2.19,1.22,"39,086",,
2024-09-12,182.73,182.91,179.27,179.45,-0.91,-0.50,"67,123",,
2024-09-11,180.91,182.18,178.73,180.36,-0.19,-0.11,"84,032",,
2024-09-10,181.82,182.18,180.18,180.55,-0.54,-0.30,"32,006",,
2024-09-09,182.00,183.64,180.00,181.09,-1.09,-0.60,"50,772",,
2024-09-08,183.82,184.73,179.09,182.18,-1.64,-0.89,"49,900",,
2024-09-05,186.91,188.18,183.64,183.82,-4.00,-2.13,"66,270",,
2024-09-04,188.00,189.09,185.45,187.82,-0.36,-0.19,"68,915",,
2024-09-03,189.82,190.18,188.00,188.18,-1.64,-0.86,"59,352",,
2024-09-02,188.73,190.91,188.73,189.82,0.18,0.09,"55,470",,
2024-09-01,188.55,190.73,188.36,189.64,0.37,0.20,"35,774",,
2024-08-29,187.27,190.73,187.27,189.27,1.82,0.97,"64,721",,
2024-08-28,188.73,189.45,186.55,187.45,-1.28,-0.68,"46,125",,
2024-08-27,191.82,191.82,187.27,188.73,-0.18,-0.10,"70,876",,
2024-08-26,193.27,196.00,188.73,188.91,-4.36,-2.26,"97,975",,
2024-08-25,195.09,197.27,193.09,193.27,-1.09,-0.56,"66,009",,
2024-08-22,193.64,197.27,193.64,194.36,0.72,0.37,"58,801",,
2024-08-21,196.36,197.09,193.64,193.64,-2.54,-1.29,"54,426",,
2024-08-20,197.64,202.00,194.91,196.18,-1.27,-0.64,"172,372",,
2024-08-19,192.73,197.64,190.00,197.45,4.36,2.26,"160,997",,
2024-08-18,193.64,198.55,192.73,193.09,0.36,0.19,"107,810",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
