0,1,2,3,4,5,6,7,8,9
2025-05-29,27.80,28.10,27.55,27.75,0.20,0.73,"33,430",,
2025-05-28,28.20,28.20,27.55,27.55,-0.50,-1.78,"19,299",,
2025-05-27,28.30,28.30,27.55,28.05,-0.15,-0.53,"67,869",,
2025-05-26,27.50,28.20,27.05,28.20,0.70,2.55,"76,991",,
2025-05-25,27.95,27.95,27.50,27.50,-0.50,-1.79,"18,679",,
2025-05-22,28.00,28.20,27.75,28.00,-0.20,-0.71,"46,623",,
2025-05-21,28.00,28.20,27.50,28.20,0.05,0.18,"71,692",,
2025-05-20,27.75,28.15,27.75,28.15,-0.05,-0.18,"35,986",,
2025-05-19,28.15,28.20,27.65,28.20,0.05,0.18,"71,195",,
2025-05-18,27.75,28.15,27.25,28.15,0.40,1.44,"64,160",,
2025-05-15,27.65,27.75,27.00,27.75,0.05,0.18,"51,042",,
2025-05-14,27.55,27.70,27.30,27.70,0.20,0.73,"16,325",,
2025-05-13,27.50,27.80,27.50,27.50,0.00,0.00,"15,712",,
2025-05-12,27.45,27.80,27.30,27.50,0.05,0.18,"28,393",,
2025-05-11,27.45,27.55,27.30,27.45,0.00,0.00,"14,975",,
2025-05-08,27.75,27.75,27.45,27.45,-0.30,-1.08,"8,086",,
2025-05-07,27.35,27.75,27.15,27.75,0.10,0.36,"37,868",,
2025-05-06,27.30,27.65,27.10,27.65,0.35,1.28,"41,616",,
2025-05-05,27.80,27.85,27.30,27.30,-0.50,-1.80,"48,335",,
2025-05-04,27.90,27.90,27.30,27.80,0.15,0.54,"54,222",,
2025-05-01,27.60,27.80,27.20,27.65,0.15,0.55,"46,040",,
2025-04-30,27.65,27.85,27.30,27.50,-0.15,-0.54,"62,571",,
2025-04-29,27.55,27.70,27.05,27.65,0.10,0.36,"134,596",,
2025-04-28,28.05,28.05,27.40,27.55,-0.45,-1.61,"67,537",,
2025-04-27,27.70,28.30,27.70,28.00,0.30,1.08,"44,955",,
2025-04-24,27.75,27.95,27.50,27.70,-0.05,-0.18,"57,474",,
2025-04-23,27.90,28.00,27.55,27.75,0.10,0.36,"49,661",,
2025-04-22,27.80,27.80,27.50,27.65,-0.10,-0.36,"21,914",,
2025-04-21,27.90,28.05,27.65,27.75,-0.15,-0.54,"28,713",,
2025-04-20,28.00,28.30,27.70,27.90,0.05,0.18,"61,889",,
2025-04-17,28.00,28.00,27.25,27.85,-0.15,-0.54,"135,918",,
2025-04-16,28.45,28.50,27.80,28.00,-0.30,-1.06,"86,953",,
2025-04-15,28.70,28.95,28.30,28.30,-0.40,-1.39,"59,267",,
2025-04-14,29.00,29.00,28.50,28.70,-0.10,-0.35,"34,542",,
2025-04-13,28.75,29.15,28.70,28.80,0.05,0.17,"57,869",,
2025-04-10,28.30,28.85,28.05,28.75,0.95,3.42,"89,636",,
2025-04-09,27.80,28.70,27.60,27.80,-0.45,-1.59,"44,256",,
2025-04-08,29.05,29.35,28.05,28.25,-0.50,-1.74,"79,901",,
2025-04-07,28.55,29.70,27.80,28.75,-1.70,-5.58,"255,823",,
2025-04-06,29.00,30.45,27.45,30.45,0.15,0.50,"160,484",,
2025-04-03,31.70,31.70,30.25,30.30,-1.55,-4.87,"119,787",,
2025-03-27,30.65,31.85,30.65,31.85,0.90,2.91,"306,376",,
2025-03-26,28.50,31.00,28.40,30.95,2.55,8.98,"145,636",,
2025-03-25,27.95,28.40,27.70,28.40,0.45,1.61,"17,357",,
2025-03-24,28.35,28.35,27.55,27.95,-0.30,-1.06,"37,538",,
2025-03-23,28.00,28.25,27.75,28.25,0.25,0.89,"44,555",,
2025-03-20,27.30,28.00,27.00,28.00,0.70,2.56,"21,680",,
2025-03-19,27.10,27.35,26.50,27.30,0.30,1.11,"33,381",,
2025-03-18,28.10,28.10,27.00,27.00,-1.10,-3.91,"35,167",,
2025-03-17,28.35,28.40,28.00,28.10,-0.25,-0.88,"25,815",,
2025-03-16,28.00,28.35,27.75,28.35,0.30,1.07,"63,056",,
2025-03-13,27.95,28.05,27.45,28.05,0.10,0.36,"47,049",,
2025-03-12,27.95,28.00,27.30,27.95,0.10,0.36,"63,384",,
2025-03-11,28.00,28.05,27.30,27.85,0.05,0.18,"34,027",,
2025-03-10,28.55,28.55,27.80,27.80,-0.75,-2.63,"38,445",,
2025-03-09,27.75,28.60,27.50,28.55,0.25,0.88,"34,643",,
2025-03-06,27.95,28.45,27.50,28.30,0.30,1.07,"69,391",,
2025-03-05,28.25,28.55,27.90,28.00,-0.60,-2.10,"39,641",,
2025-03-04,28.35,28.60,28.05,28.60,0.25,0.88,"71,845",,
2025-03-03,29.10,29.10,27.75,28.35,-0.80,-2.74,"243,559",,
2025-03-02,29.95,29.95,29.00,29.15,-0.80,-2.67,"29,858",,
2025-02-27,29.85,30.00,29.05,29.95,0.20,0.67,"144,189",,
2025-02-26,29.35,29.75,29.00,29.75,0.35,1.19,"35,848",,
2025-02-25,29.70,29.75,29.00,29.40,-0.30,-1.01,"79,630",,
2025-02-24,30.00,30.00,29.55,29.70,-0.30,-1.00,"53,073",,
2025-02-20,29.70,30.10,29.65,30.00,0.20,0.67,"59,447",,
2025-02-19,29.60,29.95,29.60,29.80,0.00,0.00,"46,509",,
2025-02-18,30.30,30.30,29.65,29.80,-0.40,-1.32,"51,597",,
2025-02-17,29.95,30.35,29.50,30.20,0.00,0.00,"76,393",,
2025-02-16,30.40,30.40,30.00,30.20,0.10,0.33,"38,746",,
2025-02-13,30.10,30.25,29.75,30.10,0.00,0.00,"110,380",,
2025-02-12,30.40,30.70,29.70,30.10,-0.10,-0.33,"136,383",,
2025-02-11,30.15,30.45,30.05,30.20,0.00,0.00,"91,887",,
2025-02-10,30.30,30.60,30.10,30.20,0.00,0.00,"94,680",,
2025-02-09,31.00,31.00,30.20,30.20,-0.90,-2.89,"175,806",,
2025-02-06,30.70,31.10,30.50,31.10,0.45,1.47,"96,070",,
2025-02-05,31.00,31.00,30.35,30.65,-0.35,-1.13,"104,508",,
2025-02-04,30.40,31.10,30.30,31.00,0.50,1.64,"75,376",,
2025-02-03,31.40,31.40,30.40,30.50,-0.30,-0.97,"148,970",,
2025-02-02,30.70,31.00,30.70,30.80,-0.10,-0.32,"50,084",,
2025-01-30,31.20,31.20,30.70,30.90,-0.10,-0.32,"103,512",,
2025-01-29,31.10,31.35,30.85,31.00,0.00,0.00,"135,676",,
2025-01-28,30.95,31.25,30.70,31.00,0.05,0.16,"465,696",,
2025-01-27,30.95,31.55,30.80,30.95,-0.10,-0.32,"139,062",,
2025-01-26,31.40,31.70,31.00,31.05,-0.40,-1.27,"168,254",,
2025-01-23,31.45,31.60,31.20,31.45,0.00,0.00,"101,193",,
2025-01-22,31.60,31.80,31.05,31.45,-0.05,-0.16,"221,096",,
2025-01-21,30.45,31.60,30.45,31.50,1.05,3.45,"251,267",,
2025-01-20,30.25,30.45,30.05,30.45,0.15,0.50,"67,355",,
2025-01-19,30.20,30.50,30.10,30.30,0.05,0.17,"49,880",,
2025-01-16,30.00,30.90,29.90,30.25,0.35,1.17,"360,840",,
2025-01-15,29.10,30.00,29.00,29.90,0.90,3.10,"284,260",,
2025-01-14,28.70,29.15,28.65,29.00,0.30,1.05,"68,662",,
2025-01-13,29.00,29.00,28.70,28.70,-0.30,-1.03,"94,498",,
2025-01-12,28.85,29.10,28.65,29.00,0.20,0.69,"117,022",,
2025-01-09,28.30,28.90,28.00,28.80,0.70,2.49,"171,844",,
2025-01-08,27.65,28.40,27.65,28.10,0.40,1.44,"124,953",,
2025-01-07,27.90,28.15,27.55,27.70,-0.20,-0.72,"72,781",,
2025-01-06,27.75,28.25,27.70,27.90,0.00,0.00,"104,343",,
2025-01-05,27.70,28.10,27.50,27.90,0.15,0.54,"109,584",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,27.70,28.10,27.50,27.90,0.15,0.54,"109,584",,
2025-01-02,28.30,28.30,27.65,27.75,-0.40,-1.42,"114,753",,
2025-01-01,28.10,28.20,27.70,28.15,0.25,0.90,"115,571",,
2024-12-31,27.90,28.30,27.75,27.90,0.20,0.72,"299,088",,
2024-12-30,27.55,27.90,27.50,27.70,0.00,0.00,"93,541",,
2024-12-29,27.60,27.85,27.60,27.70,0.15,0.54,"55,582",,
2024-12-26,27.50,27.60,27.40,27.55,0.00,0.00,"26,076",,
2024-12-25,27.50,27.65,27.05,27.55,0.15,0.55,"64,960",,
2024-12-24,27.30,27.65,27.00,27.40,0.10,0.37,"150,302",,
2024-12-23,27.30,27.35,27.00,27.30,0.25,0.92,"84,142",,
2024-12-22,26.75,27.40,26.75,27.05,0.20,0.74,"99,867",,
2024-12-19,26.95,27.05,26.75,26.85,-0.15,-0.56,"54,521",,
2024-12-18,26.85,27.00,26.80,27.00,0.15,0.56,"18,616",,
2024-12-17,26.95,27.15,26.75,26.85,-0.10,-0.37,"39,071",,
2024-12-16,27.20,27.20,26.85,26.95,-0.15,-0.55,"66,236",,
2024-12-15,26.80,27.30,26.80,27.10,0.35,1.31,"160,253",,
2024-12-12,26.90,26.90,26.70,26.75,-0.15,-0.56,"23,703",,
2024-12-11,26.75,27.25,26.70,26.90,0.05,0.19,"143,977",,
2024-12-10,26.75,26.95,26.60,26.85,0.10,0.37,"55,642",,
2024-12-09,27.00,27.10,26.65,26.75,-0.15,-0.56,"115,432",,
2024-12-08,26.45,27.05,26.45,26.90,0.50,1.89,"244,498",,
2024-12-05,26.25,26.40,26.25,26.40,0.15,0.57,"66,152",,
2024-12-04,26.10,26.70,26.10,26.25,0.15,0.57,"139,029",,
2024-12-03,25.90,26.50,25.90,26.10,0.10,0.38,"93,559",,
2024-12-02,26.00,26.10,25.90,26.00,0.05,0.19,"55,773",,
2024-12-01,25.85,26.25,25.45,25.95,0.10,0.39,"139,868",,
2024-11-28,26.00,26.10,25.80,25.85,-0.15,-0.58,"45,755",,
2024-11-27,25.60,26.00,25.60,26.00,0.10,0.39,"86,806",,
2024-11-26,25.95,25.95,25.75,25.90,0.10,0.39,"93,588",,
2024-11-25,26.00,26.05,25.80,25.80,-0.20,-0.77,"97,444",,
2024-11-24,25.80,26.05,25.80,26.00,0.05,0.19,"93,448",,
2024-11-21,25.65,25.95,25.55,25.95,0.25,0.97,"311,159",,
2024-11-20,26.05,26.05,25.70,25.70,-0.30,-1.15,"67,358",,
2024-11-19,26.05,26.15,25.70,26.00,0.05,0.19,"86,733",,
2024-11-18,26.40,26.40,25.85,25.95,-0.15,-0.57,"88,452",,
2024-11-17,26.05,26.60,26.00,26.10,0.05,0.19,"60,206",,
2024-11-14,26.05,26.45,25.95,26.05,-0.25,-0.95,"101,311",,
2024-11-13,25.90,26.50,25.90,26.30,0.05,0.19,"200,146",,
2024-11-12,26.00,26.30,25.70,26.25,0.15,0.57,"295,365",,
2024-11-11,25.50,26.30,25.35,26.10,0.55,2.15,"394,588",,
2024-11-10,25.50,25.90,25.20,25.55,0.05,0.20,"101,844",,
2024-11-07,25.50,25.65,25.20,25.50,0.00,0.00,"82,185",,
2024-11-06,25.50,25.70,25.20,25.50,0.00,0.00,"112,993",,
2024-11-05,25.85,25.85,25.30,25.50,-0.25,-0.97,"46,920",,
2024-11-04,25.50,25.90,25.05,25.75,0.35,1.38,"155,832",,
2024-11-03,25.40,25.50,25.20,25.40,-0.10,-0.39,"83,577",,
2024-10-31,25.80,25.80,25.40,25.50,-0.30,-1.16,"171,272",,
2024-10-30,25.95,25.95,25.60,25.80,-0.15,-0.58,"112,490",,
2024-10-29,25.85,26.20,25.40,25.95,0.25,0.97,"464,894",,
2024-10-28,26.55,26.60,25.70,25.70,-0.80,-3.02,"345,708",,
2024-10-27,26.50,26.90,26.30,26.50,0.10,0.38,"107,376",,
2024-10-24,26.35,26.55,26.10,26.40,-0.15,-0.56,"109,610",,
2024-10-23,26.40,26.55,25.95,26.55,0.15,0.57,"134,440",,
2024-10-22,26.55,26.95,26.30,26.40,-0.20,-0.75,"184,648",,
2024-10-21,26.25,26.60,26.25,26.60,0.10,0.38,"57,769",,
2024-10-20,26.00,26.60,26.00,26.50,0.30,1.15,"103,963",,
2024-10-17,26.85,26.85,26.20,26.20,-0.65,-2.42,"105,872",,
2024-10-16,26.90,26.95,26.65,26.85,0.00,0.00,"80,474",,
2024-10-15,26.85,27.15,26.65,26.85,-0.10,-0.37,"164,724",,
2024-10-14,27.05,27.80,26.75,26.95,-0.10,-0.37,"287,253",,
2024-10-13,26.90,27.30,26.55,27.05,0.25,0.93,"181,654",,
2024-10-10,26.05,26.90,26.05,26.80,0.75,2.88,"69,533",,
2024-10-09,26.05,26.45,25.80,26.05,-0.40,-1.51,"47,185",,
2024-10-08,26.45,26.45,25.60,26.45,0.00,0.00,"130,364",,
2024-10-07,26.10,26.60,25.90,26.45,0.45,1.73,"78,172",,
2024-10-06,26.80,27.55,26.00,26.00,-0.70,-2.62,"216,921",,
2024-10-03,26.75,27.15,26.55,26.70,0.00,0.00,"86,233",,
2024-10-02,27.20,27.30,26.50,26.70,-0.90,-3.26,"157,927",,
2024-10-01,28.25,28.25,27.60,27.60,-0.40,-1.43,"130,249",,
2024-09-30,28.10,28.40,28.00,28.00,-0.10,-0.36,"130,772",,
2024-09-29,28.35,28.65,28.10,28.10,-0.25,-0.88,"96,458",,
2024-09-26,28.60,28.75,28.30,28.35,0.05,0.18,"154,567",,
2024-09-25,28.65,28.85,28.30,28.30,-0.15,-0.53,"154,421",,
2024-09-24,28.10,28.60,27.75,28.45,0.45,1.61,"205,061",,
2024-09-22,28.35,28.60,27.95,28.00,-0.30,-1.06,"127,202",,
2024-09-19,28.90,28.90,28.30,28.30,-0.40,-1.39,"112,158",,
2024-09-18,28.35,28.75,28.15,28.70,0.20,0.70,"82,351",,
2024-09-17,28.45,28.75,28.15,28.50,0.05,0.18,"104,338",,
2024-09-16,28.50,29.05,28.20,28.45,-0.05,-0.18,"205,550",,
2024-09-15,28.95,29.40,28.40,28.50,-0.45,-1.55,"158,705",,
2024-09-12,29.25,29.50,28.95,28.95,-0.25,-0.86,"176,630",,
2024-09-11,29.35,29.80,29.00,29.20,-0.20,-0.68,"240,609",,
2024-09-10,30.20,30.20,29.30,29.40,-0.65,-2.16,"330,790",,
2024-09-09,30.50,30.70,29.85,30.05,-0.30,-0.99,"492,917",,
2024-09-08,29.80,30.45,29.50,30.35,0.80,2.71,"769,735",,
2024-09-05,28.80,29.75,28.60,29.55,0.75,2.60,"375,272",,
2024-09-04,28.00,29.30,27.90,28.80,-0.35,-1.20,"242,438",,
2024-09-03,29.15,29.60,28.70,29.15,0.00,0.00,"491,184",,
2024-09-02,27.65,29.80,27.65,29.15,1.75,6.39,"2,127,458",,
2024-09-01,26.60,27.45,26.60,27.40,0.95,3.59,"456,679",,
2024-08-29,25.95,26.75,25.80,26.45,0.65,2.52,"314,823",,
2024-08-28,25.65,26.10,25.40,25.80,0.20,0.78,"181,422",,
2024-08-27,25.55,26.50,25.55,25.60,0.10,0.39,"339,396",,
2024-08-26,25.45,25.50,25.00,25.50,0.05,0.20,"112,916",,
2024-08-25,25.30,25.60,25.30,25.45,0.30,1.19,"150,376",,
2024-08-22,24.86,25.25,24.56,25.15,0.33,1.33,"192,359",,
2024-08-21,25.05,25.10,24.50,24.82,-0.28,-1.12,"233,088",,
2024-08-20,25.10,25.15,24.94,25.10,0.00,0.00,"251,254",,
2024-08-19,25.25,25.35,25.00,25.10,-0.30,-1.18,"354,100",,
2024-08-18,25.25,25.55,25.25,25.40,-0.05,-0.20,"57,126",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2024-08-15,25.40,25.90,25.25,25.45,0.20,0.79,"52,833",,
2024-08-14,25.10,25.40,25.05,25.25,0.20,0.80,"40,405",,
2024-08-13,24.68,25.20,24.68,25.05,0.39,1.58,"45,006",,
2024-08-12,24.84,25.00,24.50,24.66,-0.24,-0.96,"61,424",,
2024-08-11,25.10,26.70,24.80,24.90,0.58,2.38,"244,475",,
2024-08-08,25.40,25.40,24.00,24.32,-1.13,-4.44,"158,720",,
2024-08-07,24.82,25.45,24.74,25.45,0.67,2.70,"94,258",,
2024-08-06,24.50,25.00,24.26,24.78,0.80,3.34,"102,570",,
2024-08-05,26.15,26.15,23.54,23.98,-2.17,-8.30,"232,405",,
2024-08-04,26.80,26.80,25.75,26.15,-0.75,-2.79,"70,460",,
2024-08-01,27.30,27.30,26.80,26.90,-0.40,-1.47,"44,101",,
2024-07-31,27.35,27.35,27.05,27.30,0.00,0.00,"28,890",,
2024-07-30,27.20,27.30,27.00,27.30,0.05,0.18,"51,447",,
2024-07-29,27.70,27.70,27.00,27.25,-0.25,-0.91,"36,172",,
2024-07-28,27.20,27.55,27.20,27.50,0.30,1.10,"42,835",,
2024-07-25,27.20,27.20,26.85,27.20,0.00,0.00,"34,566",,
2024-07-24,27.20,27.40,27.00,27.20,0.10,0.37,"58,299",,
2024-07-23,27.85,28.05,27.10,27.10,-0.95,-3.39,"93,295",,
2024-07-22,28.50,28.55,28.00,28.05,-0.15,-0.53,"110,474",,
2024-07-21,27.95,28.30,27.75,28.20,0.25,0.89,"85,836",,
2024-07-18,28.10,28.20,27.70,27.95,-0.15,-0.53,"67,726",,
2024-07-17,27.80,28.35,27.65,28.10,0.45,1.63,"151,250",,
2024-07-16,27.90,27.90,27.50,27.65,0.05,0.18,"45,267",,
2024-07-15,27.95,28.00,27.60,27.60,-0.05,-0.18,"50,553",,
2024-07-14,27.15,28.15,27.10,27.65,0.55,2.03,"117,892",,
2024-07-11,27.00,27.20,26.90,27.10,0.10,0.37,"22,104",,
2024-07-10,26.70,27.50,26.70,27.00,0.30,1.12,"52,627",,
2024-07-09,27.20,27.20,26.60,26.70,-0.30,-1.11,"44,321",,
2024-07-08,27.45,27.60,27.00,27.00,-0.45,-1.64,"37,521",,
2024-07-07,27.50,27.90,27.30,27.45,-0.10,-0.36,"84,129",,
2024-07-04,27.10,27.80,27.00,27.55,0.40,1.47,"102,546",,
2024-07-03,27.50,27.65,27.15,27.15,-0.30,-1.09,"33,094",,
2024-07-02,27.40,27.90,27.40,27.45,0.05,0.18,"39,527",,
2024-07-01,27.40,27.75,27.25,27.40,-0.05,-0.18,"91,596",,
2024-06-30,27.45,27.70,27.10,27.45,-0.25,-0.90,"39,765",,
2024-06-27,27.80,27.85,27.45,27.70,0.10,0.36,"27,999",,
2024-06-26,27.80,28.00,27.50,27.60,-0.20,-0.72,"36,513",,
2024-06-25,28.10,28.15,27.75,27.80,-0.20,-0.71,"63,662",,
2024-06-24,28.50,28.50,27.95,28.00,-0.50,-1.75,"25,661",,
2024-06-23,28.20,28.75,28.15,28.50,0.30,1.06,"88,469",,
2024-06-13,27.90,28.20,27.75,28.20,0.30,1.08,"33,243",,
2024-06-12,28.80,28.80,27.90,27.90,-0.70,-2.45,"89,244",,
2024-06-11,28.30,28.80,28.15,28.60,0.55,1.96,"117,200",,
2024-06-10,27.90,28.40,27.90,28.05,0.15,0.54,"76,371",,
2024-06-09,27.75,27.95,27.75,27.90,0.15,0.54,"30,229",,
2024-06-06,27.65,27.75,27.30,27.75,0.10,0.36,"38,910",,
2024-06-05,27.45,27.65,26.50,27.65,0.05,0.18,"94,207",,
2024-06-04,28.20,28.20,27.50,27.60,-0.60,-2.13,"92,970",,
2024-06-03,27.90,28.35,27.80,28.20,0.40,1.44,"164,838",,
2024-06-02,27.50,27.80,27.45,27.80,0.25,0.91,"21,519",,
2024-05-30,28.10,28.10,27.50,27.55,-0.55,-1.96,"67,335",,
2024-05-29,28.00,28.10,27.70,28.10,0.10,0.36,"119,863",,
2024-05-28,28.15,28.45,27.85,28.00,-0.20,-0.71,"75,094",,
2024-05-27,28.50,28.75,28.15,28.20,-0.30,-1.05,"34,090",,
2024-05-26,28.90,28.90,28.15,28.50,0.00,0.00,"30,889",,
2024-05-23,28.45,28.70,28.25,28.50,0.00,0.00,"75,417",,
2024-05-22,29.00,29.20,28.40,28.50,-0.55,-1.89,"268,292",,
2024-05-21,29.15,29.25,29.00,29.05,-0.10,-0.34,"42,072",,
2024-05-20,29.10,29.30,28.85,29.15,-0.20,-0.68,"91,647",,
2024-05-19,29.55,29.55,29.20,29.35,-0.15,-0.51,"27,487",,
2024-05-16,29.50,29.50,29.25,29.50,0.20,0.68,"27,612",,
2024-05-15,29.60,29.80,29.20,29.30,-0.20,-0.68,"27,988",,
2024-05-14,29.60,30.00,29.00,29.50,0.10,0.34,"167,306",,
2024-05-13,29.40,29.70,29.10,29.40,0.00,0.00,"58,581",,
2024-05-12,30.30,30.30,29.00,29.40,-0.75,-2.49,"157,235",,
2024-05-09,30.35,30.45,30.10,30.15,-0.20,-0.66,"57,751",,
2024-05-08,30.50,31.00,30.10,30.35,-0.15,-0.49,"188,513",,
2024-05-07,30.80,30.90,30.30,30.50,-0.25,-0.81,"103,833",,
2024-05-06,31.15,31.20,30.70,30.75,-0.40,-1.28,"48,977",,
2024-05-05,31.60,31.65,31.10,31.15,-0.20,-0.64,"150,208",,
2024-05-02,31.05,31.35,31.00,31.35,0.25,0.80,"42,102",,
2024-05-01,31.55,31.55,31.00,31.10,-0.45,-1.43,"56,456",,
2024-04-30,31.45,31.55,31.00,31.55,0.10,0.32,"80,784",,
2024-04-29,31.35,31.60,31.10,31.45,0.45,1.45,"184,011",,
2024-04-28,30.20,31.30,30.10,31.00,0.80,2.65,"104,621",,
2024-04-25,30.20,30.50,30.05,30.20,-0.05,-0.17,"91,332",,
2024-04-24,30.60,30.90,30.15,30.25,-0.35,-1.14,"89,066",,
2024-04-23,31.35,31.35,30.55,30.60,-0.80,-2.55,"149,915",,
2024-04-22,31.60,31.70,31.35,31.40,-0.15,-0.48,"98,832",,
2024-04-21,31.40,31.70,31.40,31.55,0.20,0.64,"85,157",,
2024-04-18,32.00,32.20,31.30,31.35,-0.45,-1.42,"201,699",,
2024-04-17,31.85,32.05,31.50,31.80,-0.35,-1.09,"82,642",,
2024-04-16,32.25,32.35,31.80,32.15,-0.10,-0.31,"115,151",,
2024-04-15,32.45,32.65,32.15,32.25,0.05,0.16,"120,709",,
2024-04-14,32.00,32.40,31.70,32.20,0.20,0.63,"126,650",,
2024-04-04,32.90,32.90,31.70,32.00,-0.70,-2.14,"284,173",,
2024-04-03,32.80,33.35,32.40,32.70,0.25,0.77,"178,470",,
2024-04-02,32.05,32.60,32.00,32.45,0.50,1.56,"137,017",,
2024-04-01,31.95,32.40,31.85,31.95,-0.05,-0.16,"67,537",,
2024-03-31,32.60,32.60,31.90,32.00,-0.60,-1.84,"144,641",,
2024-03-28,32.55,32.70,31.65,32.60,0.10,0.31,"191,660",,
2024-03-27,32.55,32.85,32.40,32.50,-0.05,-0.15,"135,696",,
2024-03-26,32.00,32.55,31.70,32.55,0.35,1.09,"321,543",,
2024-03-25,32.65,33.00,32.20,32.20,-0.45,-1.38,"264,778",,
2024-03-24,34.10,34.15,32.65,32.65,-1.50,-4.39,"625,072",,
2024-03-21,34.60,34.60,34.05,34.15,-0.45,-1.30,"268,779",,
2024-03-20,35.60,36.00,34.40,34.60,-0.80,-2.26,"512,397",,
2024-03-19,35.35,36.00,35.00,35.40,0.30,0.85,"717,057",,
2024-03-18,35.00,35.35,34.85,35.10,0.15,0.43,"290,470",,
2024-03-17,34.50,35.40,34.45,34.95,0.45,1.30,"355,680",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
